#Time(ms)  Value
1 -4,38
3 -4,76
6 -4,96
8 -4,99
11 -4,84
13 -4,52
16 -4,05
18 -3,42
20 -2,68
23 -1,84
25 -0,94
28 0
30 0,94
33 1,84
35 2,68
38 3,42
40 4,05
42 4,52
45 4,84
47 4,99
50 4,96
52 4,76
55 4,38
57 3,85
59 3,19
62 2,41
64 1,55
67 0,63
69 -0,31
72 -1,24
74 -2,13
77 -2,94
79 -3,64
81 -4,22
84 -4,65
86 -4,91
89 -5
91 -4,91
94 -4,65
96 -4,22
98 -3,64
101 -2,94
103 -2,13
106 -1,24
108 -0,31
111 0,63
113 1,55
115 2,41
118 3,19
121 3,85
123 4,38
125 4,76
128 4,96
130 4,99
133 4,84
135 4,52
138 4,04
140 3,42
142 2,68
145 1,84
147 0,94
150 0
152 -0,94
154 -1,84
157 -2,68
160 -3,42
162 -4,05
164 -4,52
167 -4,84
169 -4,99
172 -4,96
174 -4,76
177 -4,38
179 -3,85
181 -3,19
184 -2,41
186 -1,54
189 -0,63
191 0,31
194 1,24
196 2,13
199 2,94
201 3,64
203 4,22
206 4,65
208 4,91
211 5
213 4,91
216 4,65
218 4,22
220 3,64
223 2,94
225 2,13
228 1,24
230 0,31
233 -0,63
235 -1,55
238 -2,41
240 -3,19
242 -3,85
245 -4,38
247 -4,76
250 -4,96
252 -4,99
255 -4,84
257 -4,52
260 -4,05
262 -3,42
265 -2,68
267 -1,84
269 -0,94
272 0
274 0,94
276 1,84
279 2,68
282 3,42
284 4,05
286 4,52
289 4,84
291 4,99
294 4,96
296 4,76
299 4,38
301 3,85
303 3,19
306 2,41
308 1,55
311 0,63
313 -0,31
316 -1,24
318 -2,13
321 -2,94
323 -3,64
325 -4,22
328 -4,65
330 -4,91
333 -5
335 -4,91
338 -4,65
340 -4,22
342 -3,64
345 -2,94
348 -2,13
350 -1,24
352 -0,31
355 0,63
357 1,55
360 2,41
362 3,19
364 3,85
367 4,38
369 4,76
372 4,96
374 4,99
377 4,84
379 4,52
381 4,05
384 3,42
387 2,68
389 1,84
391 0,94
394 0
396 -0,94
398 -1,84
401 -2,68
404 -3,42
406 -4,05
408 -4,52
411 -4,84
413 -4,99
416 -4,96
418 -4,76
421 -4,38
423 -3,85
425 -3,19
428 -2,41
430 -1,55
433 -0,63
435 0,31
438 1,24
440 2,13
443 2,94
445 3,64
447 4,22
450 4,65
452 4,91
455 5
457 4,91
460 4,65
462 4,22
464 3,64
467 2,94
469 2,13
472 1,24
474 0,31
477 -0,63
479 -1,55
482 -2,41
484 -3,19
486 -3,85
489 -4,38
491 -4,76
494 -4,96
496 -4,99
499 -4,84
501 -4,52
503 -4,05
506 -3,42
509 -2,68
511 -1,84
513 -0,94
516 0
518 0,94
520 1,84
523 2,68
526 3,42
528 4,05
530 4,52
533 4,84
535 4,99
538 4,96
540 4,76
542 4,38
545 3,85
547 3,19
550 2,41
552 1,54
555 0,63
557 -0,31
559 -1,24
562 -2,13
565 -2,94
567 -3,64
569 -4,22
572 -4,65
574 -4,91
577 -5
579 -4,91
582 -4,65
584 -4,22
586 -3,64
589 -2,94
591 -2,13
594 -1,24
596 -0,31
599 0,63
601 1,55
604 2,41
606 3,19
608 3,85
611 4,38
613 4,76
616 4,96
618 4,99
621 4,84
623 4,52
625 4,05
628 3,42
630 2,68
633 1,84
635 0,94
638 0
640 -0,94
642 -1,84
645 -2,68
647 -3,42
650 -4,05
652 -4,52
655 -4,84
657 -4,99
660 -4,96
662 -4,76
664 -4,38
667 -3,85
669 -3,19
672 -2,41
674 -1,55
677 -0,63
679 0,31
682 1,24
684 2,13
687 2,94
689 3,64
691 4,22
694 4,65
696 4,91
698 5
701 4,91
704 4,65
706 4,22
708 3,64
711 2,94
713 2,13
716 1,24
718 0,31
721 -0,63
723 -1,55
726 -2,41
728 -3,19
730 -3,85
733 -4,38
735 -4,76
738 -4,96
740 -4,99
743 -4,84
745 -4,52
747 -4,05
750 -3,42
753 -2,68
755 -1,84
757 -0,94
760 0
762 0,94
765 1,84
767 2,68
769 3,42
772 4,05
774 4,52
777 4,84
779 4,99
782 4,96
784 4,76
786 4,38
789 3,85
791 3,19
794 2,41
796 1,54
799 0,63
801 -0,31
804 -1,24
806 -2,13
809 -2,94
811 -3,64
813 -4,22
816 -4,65
818 -4,91
821 -5
823 -4,91
826 -4,65
828 -4,22
830 -3,64
833 -2,94
835 -2,13
838 -1,24
840 -0,31
